Frequency,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,Label
100_THP,1289100.649,644550.3247,429700.2164,322275.1623,257820.1299,214850.1082,184157.2356,161137.5812,143233.4055,128910.0649,117190.9681,107425.0541,99161.58841,92078.61781,85940.04329,80568.79058,75829.44996,71616.70274,67847.4026,64455.03247,61385.74521,58595.48406,56047.85432,53712.52706,51564.02597,49580.79421,47744.46849,46039.3089,44451.74653,42970.02164,41583.89191,40284.39529,39063.65604,37914.72498,36831.44712,35808.35137,34840.55809,33923.7013,33053.8628,32227.51623,31441.47925,30692.8726,29979.08487,29297.74203,28646.6811,28023.92716,27427.67339,26856.26353,26308.17652,25782.01299,25276.48332,24790.3971,24322.65376,23872.23425,23438.19362,23019.65445,22615.80087,22225.87326,21849.16355,21485.01082,21132.79753,20791.94596,20461.91507,20142.19765,19832.31768,19531.82802,19240.3082,18957.36249,18682.61811,18415.72356,18156.34717,17904.17569,17658.913,17420.27905,17188.00866,16961.85065,16741.56687,16526.9314,16317.72974,16113.75812,15914.82283,15720.73963,15531.33312,15346.4363,15165.88999,14989.54243,14817.24884,14648.87102,14484.27696,14323.34055,14165.9412,14011.96358,13861.2973,13713.8367,13569.48052,13428.13176,13289.69742,13154.08826,13021.21868,12891.00649,1
90_THP,1136449.38,568224.6901,378816.46,284112.345,227289.876,189408.23,162349.9114,142056.1725,126272.1533,113644.938,103313.58,94704.11501,87419.18309,81174.95572,75763.29201,71028.08626,66849.96354,63136.07667,59813.12527,56822.46901,54116.63715,51656.79001,49410.84261,47352.05751,45457.9752,43709.59154,42090.71778,40587.47786,39187.90966,37881.646,36659.65742,35514.04313,34437.86,33424.98177,32469.98229,31568.03834,30714.84811,29906.56263,29139.7277,28411.2345,27718.27756,27058.31857,26429.05535,25828.395,25254.43067,24705.42131,24179.77405,23676.02875,23192.84449,22728.9876,22283.32118,21854.79577,21442.44113,21045.35889,20662.716,20293.73893,19937.70842,19593.95483,19261.8539,18940.823,18630.31771,18329.82871,18038.87905,17757.02156,17483.83662,17218.93,16961.93105,16712.49088,16470.28087,16234.99114,16006.3293,15784.01917,15567.79973,15357.42406,15152.6584,14953.28132,14759.08286,14569.86385,14385.43519,14205.61725,14030.23926,13859.13878,13692.16121,13529.15929,13369.99271,13214.52768,13062.63655,12914.1975,12769.09416,12627.21533,12488.45473,12352.71065,12219.88581,12089.88702,11962.62505,11838.01438,11715.97299,11596.42225,11479.28667,11364.4938,1
80_THP,1011473.379,505736.6894,337157.7929,252868.3447,202294.6758,168578.8965,144496.197,126434.1723,112385.931,101147.3379,91952.12534,84289.44823,77805.64452,72248.09848,67431.55859,63217.08617,59498.43405,56192.96549,53235.44099,50573.66894,48165.39899,45976.06267,43977.10343,42144.72412,40458.93515,38902.82226,37461.97699,36124.04924,34878.39237,33715.77929,32628.17351,31608.54309,30650.70845,29749.21702,28899.23939,28096.48274,27337.11835,26617.72049,25935.21484,25286.83447,24670.08241,24082.69949,23522.63672,22988.03134,22477.1862,21988.55171,21520.71019,21072.36206,20642.31385,20229.46758,19832.81135,19451.41113,19084.40337,18730.9885,18390.42507,18062.02462,17745.147,17439.19619,17143.61659,16857.88965,16581.5308,16314.08675,16055.133,15804.27154,15561.1289,15325.35422,15096.61759,14874.60851,14659.03448,14449.6197,14246.10393,14048.24137,13855.79971,13668.55917,13486.31172,13308.86025,13136.01791,12967.60742,12803.46049,12643.41723,12487.32566,12335.0412,12186.42625,12041.34975,11899.68681,11761.31836,11626.13079,11494.01567,11364.86942,11238.5931,11115.09207,10994.27586,10876.05784,10760.35509,10647.0882,10536.18103,10427.56061,10321.15693,10216.90282,10114.73379,1
70_THP,907272.0011,453636.0006,302424.0004,226818.0003,181454.4002,151212.0002,129610.2859,113409.0001,100808.0001,90727.20011,82479.27283,75606.00009,69790.15393,64805.14294,60484.80008,56704.50007,53368.94124,50404.00006,47751.15795,45363.60006,43203.42863,41239.63641,39446.60874,37803.00005,36290.88005,34895.07697,33602.66671,32402.57147,31285.24142,30242.40004,29266.83875,28352.25004,27493.09094,26684.47062,25922.05718,25202.00003,24520.8649,23875.57898,23263.38464,22681.80003,22128.58539,21601.71431,21099.34886,20619.81821,20161.60003,19723.30437,19303.6596,18901.50002,18515.75513,18145.44002,17789.64708,17447.53848,17118.33964,16801.33335,16495.85457,16201.28573,15917.05265,15642.62071,15377.49154,15121.20002,14873.31149,14633.41937,14401.14288,14176.12502,13958.03079,13746.54547,13541.37315,13342.23531,13148.86958,12961.02859,12778.47889,12601.00002,12428.38358,12260.43245,12096.96002,11937.78949,11782.75326,11631.69232,11484.45571,11340.90001,11200.8889,11064.2927,10930.98797,10800.85716,10673.78825,10549.67443,10428.41381,10309.9091,10194.06743,10080.80001,9970.02199,9861.652186,9755.612915,9651.829799,9550.231591,9450.750012,9353.319599,9257.877563,9164.363648,9072.720011,1
65_THP,861407.6286,430703.8143,287135.8762,215351.9071,172281.5257,143567.9381,123058.2327,107675.9536,95711.95873,86140.76286,78309.78442,71783.96905,66262.12528,61529.11633,57427.17524,53837.97679,50671.03698,47855.97937,45337.24361,43070.38143,41019.41089,39154.89221,37452.50559,35891.98452,34456.30514,33131.06264,31903.98624,30764.55816,29703.71133,28713.58762,27787.34286,26918.98839,26103.26147,25335.51849,24611.64653,23927.98968,23281.28726,22668.62181,22087.37509,21535.19071,21009.94216,20509.70544,20032.73555,19577.4461,19142.39175,18726.2528,18327.82188,17945.99226,17579.74752,17228.15257,16890.34566,16565.53132,16252.97412,15951.99312,15661.95688,15382.27908,15112.41454,14851.85567,14600.1293,14356.79381,14121.43653,13893.67143,13673.13696,13459.4942,13252.42506,13051.63074,12856.83028,12667.75924,12484.16853,12305.82327,12132.50181,11963.99484,11800.1045,11640.64363,11485.43505,11334.3109,11187.11206,11043.68755,10903.89403,10767.59536,10634.66208,10504.97108,10378.40516,10254.85272,10134.2074,10016.36777,9901.23711,9788.723052,9678.7374,9571.195873,9466.017897,9363.126398,9262.447619,9163.910942,9067.448722,8972.996131,8880.491016,8789.873761,8701.087158,8614.076286,1
50_THP,743426.4011,371713.2006,247808.8004,185856.6003,148685.2802,123904.4002,106203.7716,92928.30014,82602.93346,74342.64011,67584.21828,61952.20009,57186.64624,53101.88579,49561.76007,46464.15007,43730.96477,41301.46673,39127.70532,37171.32006,35401.2572,33792.10914,32322.887,30976.10005,29737.05604,28593.32312,27534.31115,26550.9429,25635.39314,24780.88004,23981.49681,23232.07503,22528.07276,21865.48239,21240.75432,20650.73336,20092.60544,19563.85266,19062.21541,18585.66003,18132.35125,17700.6286,17288.98607,16896.05457,16520.58669,16161.4435,15817.583,15488.05002,15171.96737,14868.52802,14576.98826,14296.66156,14026.91323,13767.15558,13516.84366,13275.47145,13042.56844,12817.69657,12600.44748,12390.44002,12187.31805,11990.7484,11800.41907,11616.03752,11437.32925,11264.03638,11095.91643,10932.74119,10774.29567,10620.37716,10470.79438,10325.36668,10183.9233,10046.30272,9912.352015,9781.92633,9654.888326,9531.107706,9410.460773,9292.830014,9178.103717,9066.175623,8956.944592,8850.314299,8746.192954,8644.493036,8545.131047,8448.027285,8353.10563,8260.293346,8169.520891,8080.721751,7993.83227,7908.791501,7825.541064,7744.025011,7664.189702,7585.983685,7509.357587,7434.264011,1
30_THP,620461.4568,310230.7284,206820.4856,155115.3642,124092.2914,103410.2428,88637.35098,77557.68211,68940.16187,62046.14568,56405.58699,51705.1214,47727.80437,44318.67549,41364.09712,38778.84105,36497.73276,34470.08094,32655.86615,31023.07284,29545.78366,28202.79349,26976.58508,25852.5607,24818.45827,23863.90219,22980.05396,22159.33774,21395.22265,20682.04856,20014.8857,19389.42053,18801.86233,18248.86638,17727.4702,17235.04047,16769.22856,16327.93307,15909.26812,15511.53642,15133.20626,14772.89183,14429.33621,14101.39675,13788.03237,13488.29254,13201.30759,12926.28035,12662.47871,12409.22914,12165.91092,11931.95109,11706.81994,11490.02698,11281.1174,11079.66887,10885.28872,10697.61132,10516.29588,10341.02428,10171.49929,10007.44285,9848.594553,9694.710263,9545.560875,9400.931164,9260.618759,9124.433189,8992.195027,8863.735098,8738.893758,8617.520234,8499.472012,8384.614282,8272.819425,8163.966537,8057.940998,7954.634062,7853.942492,7755.768211,7660.017986,7566.603132,7475.439239,7386.445915,7299.546551,7214.668103,7131.740883,7050.698373,6971.477043,6894.016187,6818.257768,6744.14627,6671.628568,6600.653796,6531.17323,6463.140175,6396.509864,6331.239356,6267.287443,6204.614568,1
15_THP,546649.2424,273324.6212,182216.4141,136662.3106,109329.8485,91108.20706,78092.74891,68331.1553,60738.80471,54664.92424,49695.38567,45554.10353,42049.94172,39046.37445,36443.28282,34165.57765,32155.83779,30369.40235,28771.01276,27332.46212,26030.9163,24847.69283,23767.35836,22777.05177,21865.96969,21024.97086,20246.26824,19523.18723,18849.97387,18221.64141,17633.84653,17082.78882,16565.12856,16077.91889,15618.54978,15184.70118,14774.30385,14385.50638,14016.64724,13666.23106,13332.90835,13015.45815,12712.77308,12423.84642,12147.76094,11883.67918,11630.83494,11388.52588,11156.10699,10932.98485,10718.6126,10512.48543,10314.13665,10123.13412,9939.077134,9761.593614,9590.337585,9424.986937,9265.241396,9110.820706,8961.46299,8816.923264,8676.972101,8541.394412,8409.988344,8282.564278,8158.943916,8038.959447,7922.452788,7809.274891,7699.285104,7592.350588,7488.345786,7387.151924,7288.656565,7192.753189,7099.34081,7008.32362,6919.610663,6833.11553,6748.756079,6666.454175,6586.13545,6507.729076,6431.167557,6356.386539,6283.324625,6211.923209,6142.126319,6073.880471,6007.134531,5941.839591,5877.948843,5815.417472,5754.202551,5694.262941,5635.5592,5578.053494,5521.709519,5466.492424,1
10_THP,524774.1654,262387.0827,174924.7218,131193.5413,104954.8331,87462.3609,74967.73791,65596.77067,58308.2406,52477.41654,47706.74231,43731.18045,40367.24349,37483.86896,34984.94436,32798.38534,30869.06855,29154.1203,27619.69292,26238.70827,24989.24597,23853.37115,22816.26806,21865.59022,20990.96662,20183.62175,19436.0802,18741.93448,18095.66088,17492.47218,16928.19888,16399.19267,15902.24744,15434.53428,14993.54758,14577.06015,14183.08555,13809.84646,13455.74783,13119.35413,12799.36989,12494.62299,12204.05036,11926.68558,11661.64812,11408.13403,11165.40777,10932.79511,10709.67684,10495.48331,10289.68952,10091.81087,9901.399347,9718.0401,9541.348462,9370.967239,9206.564305,9047.830438,8894.47738,8746.23609,8602.85517,8464.099442,8329.748657,8199.596334,8073.448698,7951.123718,7832.45023,7717.267138,7605.422687,7496.773791,7391.185428,7288.530075,7188.687197,7091.542776,6996.988872,6904.923229,6815.248901,6727.873915,6642.710954,6559.677067,6478.6934,6399.684944,6322.580306,6247.311493,6173.813711,6102.025179,6031.886959,5963.342789,5896.338937,5830.82406,5766.74907,5704.067015,5642.732961,5582.703887,5523.938583,5466.397556,5410.042942,5354.838422,5300.749145,5247.741654,1
100_PHA,507390.6661,253695.333,169130.222,126847.6665,101478.1332,84565.11101,72484.38087,63423.83326,56376.74067,50739.06661,46126.42419,42282.55551,39030.05124,36242.19043,33826.0444,31711.91663,29846.50977,28188.37034,26704.7719,25369.5333,24161.46029,23063.21209,22060.46374,21141.27775,20295.62664,19515.02562,18792.24689,18121.09522,17496.22986,16913.0222,16367.44084,15855.95831,15375.47473,14923.25488,14496.87617,14094.18517,13713.26124,13352.38595,13010.01708,12684.76665,12375.3821,12080.73014,11799.78293,11531.60605,11275.34813,11030.23187,10795.54609,10570.63888,10354.91155,10147.81332,9948.836589,9757.512809,9573.408794,9396.123446,9225.284838,9060.547608,8901.590633,8748.114932,8599.841798,8456.511101,8317.879772,8183.72042,8053.820096,7927.979157,7806.010247,7687.737365,7572.995016,7461.627442,7353.487914,7248.438087,7146.347409,7047.092584,6950.557069,6856.630622,6765.208881,6676.192975,6589.48917,6505.008539,6422.666659,6342.383326,6264.082297,6187.69105,6113.140555,6040.365072,5969.301954,5899.891466,5832.076621,5765.803023,5701.01872,5637.674067,5575.721605,5515.115935,5455.813614,5397.773043,5340.95438,5285.319438,5230.831609,5177.455776,5125.158243,5073.906661,0
