Frequency,90%_THP,80%_THP,60%_THP,50%_THP,40%_THP,30%_THP,20%_THP,10%_THP,PHA(-),PC3,H2O,Air
1,3054.63,2622.43,2338.23,2271.23,606.79,632.12,1231.19,603.04,546.89,591.21,590.75,540.27
2,2934.25,2582.13,2278.31,2232.12,596.71,601.92,1221.04,603.04,546.89,591.21,590.75,540.27
3,2893.89,2538.22,2235.03,1113.8,1108.01,1111.11,1162.68,1105.74,876.54,1055.53,1087.74,879.17
4,2872.8,2473.51,2204.41,2173.36,2079.26,2132.37,1174.62,2147.21,1155.85,1856.26,2063.23,1280.72
5,2863.18,2328.06,2187.56,2215.18,2837.8,2839.64,1182.51,2873.83,1204.98,2253.7,2707.11,1348.43
6,2495.87,2052,1962.92,2204.9,2310.57,2438.07,1073.6,2435.04,1127.45,1973.11,2315.95,1195.34
7,2412.09,1799.88,1757.54,2065.35,1997.06,2142.44,1033.65,2058.15,1085.56,1659.94,1955.29,1066.73
8,2425.78,1871.71,1820.33,2212.1,2229.74,2376.93,975.23,2380.18,1065.48,1725.63,2229.56,1074.2
9,2379.53,1847.66,1810.21,2200.32,2280.74,2255.36,928.94,2258.14,1060.2,1660.6,2190.94,998.15
10,2024.17,1680.66,1595.76,2000.54,1890.15,1998.47,874.99,1978.08,987.16,1502.86,1826.88,909.43
11,1797.44,1513.09,1473.55,1797.07,1708.9,1814.43,835.27,1778.47,959.09,1352.44,1689.92,832.8
12,1841.9,1509.3,1452.81,1786.23,1708.58,1825.21,799.85,1820.72,906.82,1311.12,1668.93,799.84
13,1692.34,1423.85,1353.47,1689.92,1618.23,1697.75,766.24,1692.34,878.9,1223.14,1570.26,747.06
14,1520.51,1310.58,1259.59,1522.04,1473.81,1543.45,743.93,1533.65,853.17,1124.14,1447.94,707.52
15,1418.62,1234.59,1212.89,1389.46,1371.74,1439.93,717.63,1422.92,828.71,1040.27,1358.01,669.05
16,1409.74,1184.91,1143.61,1362.76,1330.61,1379.67,697.28,1350.92,794.77,1011.45,1266.74,631.1
17,1283,1108.14,1093.69,1281.26,1228.45,1301.28,676.37,1311.16,764.67,931.68,1202.08,601.28
18,1238.62,1077.94,1054.62,1215.4,1174.09,1242.31,655.37,1228.57,728.58,882.14,1140.16,571.59
19,1163.27,1017.59,998.77,1152.98,1100.72,1166.48,610.07,1173.57,718.53,831.54,1085.5,549.28
20,1126,976.29,955.98,1113.87,1052.54,1105.32,583.44,1113.87,684.78,799.81,1046.69,525.8
21,1042.01,927.72,913.87,1063.21,1004.19,1061.53,573.68,1046.49,667.78,766.85,994.07,501
22,1017.2,889.6,893.14,1007.29,970.97,1008.68,557.88,1025.77,651.95,732.88,949.15,485
23,969.66,857.15,858.12,968.32,921.25,972.98,542.71,963.2,627.72,695.42,902.38,463.77
24,936.73,821.43,822.28,922.55,892.31,930.61,523.86,928.53,608.93,675.08,871.72,451.45
25,891.78,798.36,794.04,883.73,843.6,896.66,516.62,894.22,597.48,645.96,833.87,434.8
26,864.14,768.93,760.22,865.84,801.47,863.38,506.89,858.93,577.93,623.05,807.21,418.06
27,835.93,751.62,733.38,837.05,779.05,828.74,496.43,816.26,568.62,606.78,777.93,405.53
28,787.88,705.84,707.59,784.48,756.61,784.24,475.69,795.76,547.35,572.87,746.17,392.47
29,763.06,693.45,691.67,762.01,741.37,768.16,468.98,762.01,530.89,557.83,728.46,380.27
30,742.65,677.93,673.68,742.65,705.59,739.52,465.11,747.54,520.26,539.82,701.59,370.66
31,722.16,653.1,656.85,724.95,693.86,721.14,453.34,728.01,508.54,522.9,679.99,359.99
32,688.79,627,628.92,695.42,665.21,698.52,442.31,696.77,497.86,506.17,661.82,347.93
33,677.93,618.94,612.84,673.09,636.62,679.02,432.47,673.66,481.73,492.66,640.01,341.41
34,664.71,600.09,603.79,661.84,637.49,668.96,432.1,668.49,477.07,479.45,627.17,333.68
35,648.37,588.41,589.25,642.67,615.37,635.36,420.35,641.79,468,463.99,606.17,324.03
36,621.07,563.55,567.47,619.06,589.09,611.71,409.96,612.56,447.86,445.36,585.85,315.19
37,607.84,547.89,538.62,610.32,587.08,575.93,410.96,607.25,442.03,439.46,569.82,309.49
38,584.52,539.37,542.53,581.75,568.03,587.47,400.7,588.88,434.55,427.09,553.19,301.98
39,575.98,526.15,527.72,575.4,552.23,560.83,393.34,572.55,426.34,414.61,543.23,296
40,559.08,508.73,513.79,555.86,532.85,539.51,386.96,567.88,416.84,399,542.45,286.82
41,546.02,500.05,501.13,535.7,522.26,530.03,380.45,543.66,404.64,391.5,511.52,281.27
42,532.08,491.44,495.02,529.06,514.2,516.91,372.88,528.27,404.49,384.95,502.38,276.01
43,520.3,474.12,481.79,514.13,501.1,497.31,371.62,511.99,393.61,371.48,492.2,270.33
44,503.64,457.51,467,491.71,476.84,486.81,359.93,495.41,383.2,368.53,478.14,262.12
45,492.97,450.59,464.27,496.07,477.99,483.15,353.14,493.59,378.28,354.49,469.29,260.16
46,475.69,440.12,441.88,478.55,457.81,461.12,349.35,475.7,367.75,348.25,455.64,252.6
47,468.3,433.23,437.29,466.58,449.24,453.39,346.87,468.25,358.82,340.88,442.97,247.35
48,454.13,425.11,424.2,453.58,437.32,443.74,342.12,453.65,355.12,333.05,431.66,241.1
49,444.36,414.52,421.14,450.26,430.74,433.64,334.8,444.27,348.38,325.08,422.5,237.82
50,436.69,406.05,408.65,434.69,417.57,423.92,332.52,435.33,345.65,315.26,411.34,233.53
51,425.07,396.35,403.07,422.42,414.83,420.9,325.93,424.81,337.18,312.52,402.15,229.58
52,416.96,387.84,390.92,413.92,400.59,404.71,320.63,415.47,329.41,304.32,392.58,224.3
53,408.72,376.09,383.1,411.34,391,400.42,316.89,407.25,323.65,299.85,392.2,222.27
54,399.5,373.31,374.56,403.42,384.76,387.63,309.91,402.94,322.89,293.02,381.91,216.54
55,387.72,364.25,369.19,391.65,379.23,381.83,307.07,389.63,313.37,291.23,373.15,212.9
56,380.62,355.97,358.29,382.27,368.58,369.03,304.29,378.28,309.12,282.17,365.43,208.86
57,376.24,350.26,353.21,374.02,358.4,364.8,299.58,373.13,304.13,276.97,358.17,205.66
58,369.04,343.77,347.31,366.26,355.11,351.9,295.26,366.06,299.17,271.42,351.16,202.03
59,360.65,339.63,336.27,361.24,353.29,351.79,274.4,357.94,292.7,268.79,342.21,199.29
60,354.35,339.51,342.04,350.07,342.36,347.05,281.35,337.44,289.32,261.27,342.83,196.15
61,349.39,323.16,327.99,348.49,338.83,340.81,277.61,350.43,287.36,258.04,332.43,192.94
62,342.12,321.9,325.17,339.12,331.86,334.12,272.64,341.49,280.81,253.46,328.98,189.95
63,337.82,317.48,317.72,337.58,327.66,329.37,270.07,337.96,275.1,249.46,323.52,187.08
64,331.98,312.07,309.93,330.85,321.7,325.09,266.02,331.23,272.89,245.31,317.01,183.7
65,326.73,304.69,310.12,325.3,316.02,318.79,263.08,320.88,267.87,241.28,311.04,183.07
66,321.16,301.11,304.88,320.79,312.32,314.24,258.9,319.97,264.85,239.08,306.4,179.31
67,316.9,298.26,300.85,316.82,306,308.95,256.39,315.67,260.92,235.11,302.54,176.68
68,311.68,292.71,295.85,310.56,302.82,304.35,253.36,310.91,257.07,231.24,297.65,174.32
69,305.9,287.99,290.64,305.96,297.07,299.5,249.76,306.3,253.51,228.53,292.72,171.71
70,302.75,284.04,286.23,300.99,293.37,294.68,246.71,303.14,251.36,225.24,291.03,169.43
71,296.82,279.84,283.54,297.2,287.73,290.38,243.38,296.86,246.61,222,284.54,167.49
72,292.78,275.44,279.02,294.49,283.29,285.85,240.6,292.48,242.99,218.83,280.78,165.14
73,287.53,271.24,274.86,287.24,273.95,281.43,238.57,287.85,240.01,214.95,276.17,162.53
74,284.36,267.17,273.87,283.37,275.56,275.55,235.86,285.29,236.69,211.91,271.66,160.63
75,280.52,264.51,266.89,280.52,271.66,273.45,235.14,283.73,234.07,209.98,268.13,158.85
76,277.1,260.89,262.14,275.55,267.55,269.31,232.1,279.27,233.21,206.51,258.96,157.04
77,271.03,250.37,263.76,260.83,270.38,267.89,232.87,268.44,233.72,207.63,267.92,154.83
78,267.77,244.56,259.87,265.67,260.55,277.34,223.31,268.66,229.36,197.66,247.6,152.88
79,263.72,249.74,247.12,264.28,258.35,260.45,222.22,264.55,223.14,197.64,252.45,150.93
80,260.02,245.73,248.5,261.05,252.72,255.34,221.95,257,219.92,196.9,247.19,149.08
81,257.48,242.68,246.5,256.67,249.8,250.3,217.81,257.98,216.05,192.91,245.32,147.25
82,253.55,239.85,242.96,253.11,246.32,247.37,215.78,253.93,214.05,191.13,243.2,145.67
83,249.58,236.06,239.72,248.32,242.68,245.63,213.16,250.58,212.16,188.62,239,143.69
84,249.55,232.41,235.81,247.26,239.82,241.87,211.12,246.29,209.3,186.5,235.61,141.77
85,243.65,229.45,233.46,243.13,236.76,239.17,208.85,241.02,209.75,183.9,233.21,140.25
86,239.06,226.55,226.91,242.76,231.92,236.44,207.46,241.82,201.63,186.24,229.48,138.89
87,235.53,223.54,225.94,239.06,230.62,230.64,203.88,237.82,201.91,181.29,228.23,137.03
88,232.02,221.06,225.01,231.1,227.62,232.08,203.16,233,198.18,175.48,224.12,135.43
89,228.22,215.23,222.94,229.89,226.97,231.91,203.33,233.19,196.84,175.23,222.47,133.81
90,226.16,210.99,223.47,229.03,221.55,224.28,202.41,224.65,194.84,173.85,217.49,132.22
91,225.01,212.77,216.01,223.69,218.93,218.77,199.27,227.96,194.12,172.71,222.49,130.81
92,220.81,208.13,213.76,223.12,216.47,217.8,194.29,223.06,192.17,174.65,211.15,129.73
93,217.58,207.23,214.68,223.41,218.96,220.83,193.06,221.75,188.65,163.03,206.61,128.26
94,215.87,204.72,208.14,212.47,204.09,211.47,179.04,215.37,187.23,165.59,208.84,127.06
95,214.14,209.68,193.94,214.81,209.53,208.24,190.39,210.79,180.51,164.21,206.33,125.83
96,210.89,195.89,204.74,214.25,206.74,207.71,187.26,212.55,185.63,163.71,203.27,124.5
97,207.12,207.64,201.98,214.37,198.98,207.75,184.97,210.08,180.03,159.77,196.62,123.09
98,204.92,196.15,195.81,210.86,203.11,205.22,186.63,207.56,179.1,158.72,201.8,121.81
99,203.37,194.51,199.83,206.36,201.18,201.51,182.48,208.59,180.05,157.26,198.04,120.81
100,200.86,192.14,196.13,203.31,197.9,199.49,180.26,202.76,176.01,155.34,194.64,119.57
