S No.,Value,Maximum,Minumum,Average,Label
1,100_THP,1289100.649,12891.00649,66870.51726,1
2,90_THP,1136449.38,11364.4938,58951.91964,1
3,70_THP,907272.0011,9072.720011,47063.62381,1
4,65_THP,861407.6286,8614.076286,44684.46566,1
5,50_THP,743426.4011,7434.264011,38564.33399,1
6,30_THP,620461.4568,6204.614568,32185.67812,1
7,15_THP,546649.2424,5466.492424,28356.7599,1
8,10_THP,524774.1654,5247.741654,27222.01707,1
9,100_PHA,507390.6661,5073.906661,26320.26934,0
10,90_PHA,505033.9768,5050.339768,26198.01897,0
11,70_PHA,500364.7746,5003.647746,25955.80982,0
12,65_PHA,499206.5769,4992.065769,25895.72974,0
13,50_PHA,495753.5595,4957.535595,25716.60869,0
14,30_PHA,491199.2582,4911.992582,25480.35989,0
15,15_PHA,487820.2509,4878.202509,25305.07802,0
16,10_PHA,486700.8234,4867.008234,25247.00909,0
